item,itemLabel
Q1038732,Carl_Heinrich_von_Heineken
Q264730,Gloria_Vanderbilt
Q531113,Johanna_Billing
Q6488577,Lara_Piper
Q101839918,Brit Bunkley
Q543582,Jacqueline_de_Jong
Q17198170,Virginia_Grayson
Q104324,Richard_Graul
Q2738694,Waki_Yamato
Q50738785,Jean_Conner
Q16195498,Johanna_Day
Q101869662,Sean C. Jackson
Q1273559,Renee_Nele
Q6148493,Jan_Aronson
Q1044457,Lady_Caroline_Blackwood
Q10444417,Gillian_Wearing
Q5247792,Deb_Sokolow
Q18045107,Narcissister
Q102047798,James Brocas
Q293162,Ilon_Wikland
Q7382946,Ruth_Deckard
Q1054161,Leonardo_Agostini
Q464376,Ella_Maillart
Q8570663,Brigid_Marlin
Q20676051,Diane_Bond
Q102053,Tim Pritlove
Q289624,Emily_Carr
Q7634317,Sue_Tompkins
Q10564919,Karol_Wight
Q5298368,Dorothy_Cross
Q6470571,Lady_Sybil_Grant
Q20858091,Marguerite_McNulty
Q102108,Alan Lee
Q441440,Judy_Chicago
Q3107869,Gitta_Mallasz
Q10577511,Mark_Fell_(artist)
Q4768582,Anne_Madden
Q7608370,Stephanie_Pui-Mun_Law
Q22276884,Dorothy_A._Atabong
Q102115205,Courtney McClellan
Q46408,Georgia_O'Keeffe
Q5562887,Gina_Lucia
Q1058859,Luciano_Bellosi
Q5026679,Camille_Souter
Q6416832,Kiso_Yoshida
Q21531368,Liza_Figueroa_Kravinsky
Q102163,Ted Nasmith
Q233088,Marie_Laurencin
Q1964499,Nancy_Reddin_Kienholz
Q105977,Auguste_Strobl
Q6005678,Imogen_Stuart
Q3887804,Nike_Davies-Okundaye
Q22279420,Lizz_Njagah
Q102341,Farrah Fawcett
Q271910,Gertrude_Vanderbilt_Whitney
Q5365344,Ellie_Harrison_(artist)
Q1064878,Charles_Hope_(art_historian)
Q6779638,Mary_Gillick
Q7698115,Temima_Gezari
Q1602651,Hella_Moja
Q102378247,Rumana Husain
Q1622821,Mary_Pratt_(painter)
Q6763596,Marilyn_Moore_(artist)
Q1066012,Charles_Saatchi
Q156898,Alma_Mahler
Q15461336,Ruth_Duckworth
Q21266497,Deborah_McAndrew
Q102397174,Mark Eshbaugh
Q7705569,Tess_Jaray
Q6303558,Judith_Margolis
Q106894,Peter_Klusen
Q4727216,Alison_Wilding
Q6778910,Mary_Ann_Sampson
Q3981445,Tatyana_Pavlova
Q102412869,Marjorie Husain
Q517349,Elizabeth_Thompson
Q6760916,Mari_Käbin
Q107672,Christian_Schoen
Q238678,Imogen_Cunningham
Q7129152,Pamela_Fraser
Q11642154,Ayumi_Endō
Q102423833,Eli Rezkallah
Q168704,Niki_de_Saint_Phalle
Q5338676,Edith_Simon
Q1081418,Camillo_Massimo
Q457015,Melinda_Gebbie
Q531350,Bethan_Huws
Q27881107,Amber_Gray
Q102428723,Bruce McGaw
Q2975593,Clarice_Cliff
Q6033229,Ingrid_Kerma
Q108288,Philip_Rosenthal_(industrialist)
Q2308298,Else_Alfelt
Q6193085,Jill_Trappler
Q538681,Elvira_Ríos
Q102494828,Chun-Hsiung Huang
Q5460362,Flora_Twort
Q4749091,Amy_Balkin
Q108405,Jeanette_Zwingenberger
Q1915357,Hélène_Smith
Q3817408,Eve_Sussman
Q29415759,Yulia_Slonimskaya_Sazonova
Q102535035,Paul Rousso
Q6375412,Kate_Carew
Q4749192,Amy_Franceschini
Q1089074,Federico_Zeri
Q391560,Colleen_Doran
Q3858815,Mirella_Bentivoglio
Q4289079,Hallie_Meyers-Shyer
Q102704954,Hoori Noorani
Q287679,Anna_Kavan
Q4899005,Betty_Warren_(artist)
Q10922985,Tang_Ying
Q144185,Zahra_Kazemi
Q6698530,Lucy_Telles
Q42698740,Hilda_Anthony
Q102711,Dennis Hopper
Q5313287,Dulah_Marie_Evans
Q6206123,Joanne_Gair
Q109808,Max_Linde
Q7537387,Sky_Lee
Q6721401,Mabel_Allington_Royds
Q16337092,Carol_Nakamura
Q10280980,Felipe Ehrenberg
Q253446,Anna_Ancher
Q5044379,Carol_Hoorn_Fraser
Q110215,Gustav_Pauli
Q6957781,Nadine_Blacklock
Q3335569,Nancy_Elizabeth_Prophet
Q28523879,Fatoumata_Coulibaly
Q1028204,Gris Grimly
Q2821626,Abigail_May_Alcott_Nieriker
Q7430953,Schandra_Singh
Q1103126,Ilona_Kabos
Q4766702,Ann_Telnaes
Q2343008,Fleur_Cowles
Q43020421,Toby_Claude
Q102827197,Opashona Ghosh
Q142472,Käthe_Kollwitz
Q6845548,Mika_Seeger
Q11042561,Branko_Popović_(painter)
Q2755960,P._K._Page
Q4685531,Adriana_de_Barros
Q6039606,Nelly_Prono
Q102832844,Craig Hilton
Q1040807,Lady_Sarah_Chatto
Q5092680,Cheryl_Anne_Lorance
Q1108333,Colin_B._Bailey
Q161167,Princess_Louise,_Duchess_of_Argyll
Q2160350,Rita_Boley_Bolaffio
Q29572166,Erika_Andia
Q10294036,Morteza Momayez
Q231121,Yayoi_Kusama
Q5221605,Daphne_Fitzpatrick
Q111293,Max_Lehrs
Q239823,Chantal_Akerman
Q7425117,Sasha_Morgenthaler
Q2975483,Clara_Furey
Q10296095,Ana Vieira
Q444567,Kay_Sage
Q4739748,Amanda_Ross-Ho
Q1121874,Master_of_the_André_Virgin
Q234279,Nan_Goldin
Q6761665,Maria_Zacchè
Q47452414,Lois_Sturt
Q103099168,Radojica Živanović Noe
Q47496,Marina_Abramović
Q1660213,Imogen_Stidworthy
Q11274978,Hiroshi_Negishi
Q3269500,Lynda_Barry
Q4765568,Anita_Kunz
Q47482200,Oriel_Ross
Q10313811,Karen Jones
Q3132490,Henriette_Wyeth
Q5761496,Hilda_Woolnough
Q11362747,Namikawa_Yasuyuki
Q467575,Gisèle_Lestrange
Q6547962,Lilla_Watson
Q518784,Lola_Arias
Q10321899,Rokneddin Mokhtari
Q231861,Berenice_Abbott
Q14564647,Mierle_Laderman_Ukeles
Q11383243,Keizo_Saji
Q444011,Lotte_Reiniger
Q5111197,Christine_Tamblyn
Q56163362,Connie_Boochever
Q103259,Johanne Nathusius
Q273933,Marie_Krøyer
Q16211385,Runa_Islam
Q113884,Günter_Felke
Q452354,Gertrude_Jekyll
Q459138,Moina_Mathers
Q61591325,Beatrice_Chanler
Q103470444,Carlos Donjuan
Q3161825,Jana_Sterbak
Q6780951,Mary_White_(ceramicist_and_calligrapher)
Q114482,Bruno_Adler
Q237497,Cherie_Currie
Q7422437,Sarah_Jane_Pell
Q62007133,Raphaëlle_Boitel
Q10357618,Raul Mourão
Q915955,Brigid_Berlin
Q5056120,Cecil_Higgs
Q115164,Ludwig_Heinrich_Heydenreich
Q6151187,Jane_Bown
Q2019803,Olia_Lialina
Q598323,Antonia_Franceschi
Q1037921,Carl Fredrik Adelcrantz
Q133390,Miyuki_Tanobe
Q1711906,Julia_Scher
Q11566135,Namikawa_Sōsuke
Q274604,Susan_Meiselas
Q8046620,Yael_Kanarek
Q20704242,Abigail_Pereira
Q103805472,Sandra C. Fernández
Q462333,Clara_Westhoff
Q6187176,Jessica_Dougherty
Q11575342,Koki_Tanaka_(artist)
Q470063,Mina_Loy
Q5372328,Emily_Prince
Q35828924,Corinna_Schnitt
Q103811096,Linda Lucero
Q237959,Lee_Krasner
Q530565,Sophia_Isberg
Q115816,Harald_Szeemann
Q93815,Karen_Wynn_Fonstad
Q6369550,Karen_Carr
Q2646396,Anna_Bache-Wiig
Q103821950,Ilona Royce Smithkin
Q159409,Louise_Bourgeois
Q6394934,Kesh_Kumari
Q116495,Daniel_Baud-Bovy
Q2526535,Miss_Van
Q7493039,Sheila_Elias
Q18416435,Betty_May_(actress)
Q103824200,Erika Blumenfeld
Q219572,Marie_Tussaud
Q6509190,Leah_Gilliam
Q11653939,Yuko_Hasegawa_(curator)
Q5387853,Erica_Awano
Q87083,Emilie_Bach
Q60429380,Lorena_Vindel
Q103824477,Ashley Maietta
Q4968207,Mary_Moser
Q5530722,Gemma_Nelson
Q11671311,Akiya_Takahashi
Q101951,Pauline_Baynes
Q5362089,Eliza_Ellen_Starr
Q20013155,Diego_Aramburo
Q103824685,Thelma Pepper
Q292268,Kate_Millett
Q6558510,Lisa_Wray
Q1167286,Gerhard_Schmidt_(art_historian)
Q467027,Buffy_Sainte-Marie
Q3187224,Joyce_Carlson
Q96658110,Jari_Jones
Q103826897,Irene Newton
Q7651448,Suzy_Rice
Q16018945,Ginger_Wallace
Q1167823,Georg_Wolfgang_Knorr
Q64172,Bärbel_Bohley
Q7648389,Susan_Silas
Q3335585,Nancy_Kruse
Q103842689,The Singh Twins
Q274339,Gwen_John
Q6759434,Margaret_Gardiner_(artist)
Q11727470,Joanna_Mytkowska
Q515658,Guerrilla_Girls
Q7563053,Sophie_Podolski
Q13860313,Marta_Turok
Q103848,Philipp Humm
Q2060870,Nampeyo
Q7422567,Sarah_Maple
Q117451,Albert_Skira
Q126633,Marjane_Satrapi
Q5441708,Felicia_Browne
Q6819682,Merle_Greene_Robertson
Q103849821,Cliff Joseph
Q439920,Suze_Rotolo
Q6373555,Kartika_Affandi
Q1174788,David_Huffman
Q238364,Margaret_Bourke-White
Q7164433,Penny_Slinger
Q98833938,Milica_Krstić
Q103850724,Zara Peerzada
Q267559,Eija-Liisa_Ahtila
Q6192736,Jill_Bauman
Q11763296,Lucjan_Kintopf
Q1049521,Marimo_Ragawa
Q16150734,Linda_Vallejo
Q28740425,Gwendolyn_DuBois_Shaw
Q103991,Horst Walter
Q442481,Kathleen_Scott
Q7561719,Sonia_Khurana
Q11769012,Maria_Ludwika_Bernhard
Q3442397,Rose_O'Neill
Q6660095,Liz_Danforth
Q6167922,Jayne_Wrightsman
Q104010566,Trung Le Nguyen
Q449536,Elaine_de_Kooning
Q6178845,Jennifer_Steinkamp
Q11776271,Paulus_van_Beresteyn
Q4943414,Eleanor_Coppola
Q4751872,Anastasia_Klose
Q15964497,Eugenia_Butler
Q104033920,Vimbai Zimuto
Q5092402,Cherry_Hood
Q7422128,Sarah_Britten
Q118101,Ernst_Beyeler
Q47780,Zaha_Hadid
Q64415895,Isa_Outhwaite
Q16736306,Pearl_Lam
Q104054583,Izzul Iman Zainal
Q456626,Alison_Lapper
Q2965864,Charlotta_Cederström
Q11865938,Janne_Sirén
Q115853,Alexandra_Nechita
Q4858858,Barbara_DeGenevieve
Q18207039,Melinda_Wortz
Q104119834,Enid Peate
Q242121,Aleksandra_Ekster
Q7091649,Ona_Danutė_Buivydaitė
Q11958230,Anne_Aaserud
Q256434,Sally_Mann
Q5459813,Flo_Perkins
Q6966052,Bertha_Urdang
Q1041202,Carl Wyland
Q7531,Louise_Nevelson
Q4713955,Aldona_Jonuškaitė-Šaltenienė
Q12020451,Howard_Hibbard
Q236878,Ivana_Kobilca
Q6780843,Mary_Tonkin
Q21192220,Lilly_de_Jongh_Osborne
Q104127446,Oree Originol
Q235275,Remedios_Varo
Q487546,Lee_Bul
Q120510,Wolfgang_Stechow
Q189407,Gloria_Stuart
Q7115099,Oxana_Narozniak
Q41536918,Philippine_E._Von_Overstolz
Q104127763,Ricardo Favela
Q259594,Lyubov_Popova
Q16106316,Nancy_Kozikowski
Q120588,Oskar_Reinhart
Q5212127,Dame_Darcy
Q6154349,Janice_Tanton
Q16902211,Marie_Muracciole
Q1042835,Carlos Cruz-Diez
Q212657,Artemisia_Gentileschi
Q5605135,Greer_Honeywill
Q12072060,Pieter_Verdonck
Q516915,Cathy_Guisewite
Q5681591,Hatice_Güleryüz
Q18154765,Catherine_Taft
Q1044185,Carol Pilars de Pilar
Q11203762,Adriana_Maraž
Q5364837,Ellen_Frank_(artist)
Q1208900,Diana_Widmaier_Picasso
Q3026198,Diane_DiMassa
Q5254333,Delores_Churchill
Q17279765,Teresa_del_Conde
Q10466490,Dan Park
Q242546,Dora_Carrington
Q7421747,Sara_Rahbar
Q121669,Iwan_Wirth
Q13476369,Kaja_Foglio
Q16186163,Sue_Ellen_Brown
Q19802847,Elizabeth_McCausland
Q1047767,Prabda Yoon
Q235605,Jeanne_Hébuterne
Q5515981,Gabriela_Trzebinski
Q121735,Richard_von_Kaufmann
Q456521,Marianne_Brandt
Q5026660,Camille_Martin
Q1152754,Mary_Boone
Q10507609,Gordon Rossiter
Q4869085,Bathsheba_Grossman
Q524476,Waltraut_Cooper
Q121756,Zimoun
Q438129,Eileen_Gray
Q7562582,Sonya_Rapoport
Q6172093,Jeanne_Greenberg_Rohatyn
Q10540015,Jesper Waldersten
Q532958,Gwen_Raverat
Q6395424,Ketna_Patel
Q12216912,Samira_Magroun
Q3617673,Anna_Brandoli
Q5271449,Diane_Falkenhagen
Q17306295,Riko_Mizuno
Q1060098,Yūsuke Iseya
Q158080,Magdalena_Abakanowicz
Q7607060,Stella_Elmendorf_Tylor
Q12236635,Ernst_Kühnel
Q5297758,Dori_Seda
Q7353624,Robyn_O'Neil
Q44376602,Suzanne_Landau
Q106275,Juliette Binoche
Q3507217,Sylvia_Daoust
Q5353247,Elaine_M._Goodwin
Q12252346,Paul_Dujardin_(art_historian)
Q5438915,Fay_Godwin
Q140271,Ulrike_Arnold
Q70216526,Simone_Haak
Q1064579,Charles Gore
Q452807,Slava_Raškaj
Q6416030,Kirsha_Kaechele
Q123131,Edith_Alice_Müller
Q6779425,Mary_Elizabeth_Price
Q6167891,Jayne_Lawless
Q23806395,Maria_Lowenstein
Q1064767,Charles Heaphy
Q877385,Posy_Simmonds
Q4766448,Ann_Henderson
Q12334233,Søren_Anton_van_der_Aa_Kühle
Q3185911,Josephine_Hopper
Q5044249,Carol_Barton
Q22003317,Tina_Barton
Q1065725,Charles Paris
Q2575649,Elisabeth_Frink
Q7914667,Vanessa_Jennings
Q123466,Heinrich_Wölfflin
Q122006,Uta_Barth
Q5562260,Gillian_Mann
Q34249492,Karole_Vail
Q1069184,Chema Madoz
Q3100592,Jenny_Nyström
Q1906316,Mary_Kelly_(artist)
Q1239586,John_Gage_(art_historian)
Q274257,Mimi_Parent
Q6779537,Mary_Fisher_(activist)
Q35494202,Halley_Brewster_Savery_Hough
Q10691989,Jim Mees
Q2731236,Nancy_Spero
Q4897459,Beth_Cavener_Stichter
Q124190,Karl_von_Lützow
Q3817198,Edith_Holden
Q3736001,Frögärd_i_Ösby
Q86755758,Lauren_Haynes
Q1071703,Kira Plastinina
Q270388,Jenny_Holzer
Q4768847,Anne_Thompson_(artist)
Q1245335,Doris_Shadbolt
Q4287271,Hannah_Yakin
Q4792150,Arlene_Graston
Q47835384,Janet_Dees
Q1072634,Takashi Takeuchi
Q235903,Evelyn_De_Morgan
Q7351520,Roberta_Lima
Q1247154,Nikolay_Yusupov
Q5196607,Sarah_Biffen
Q6981580,Nava_Lubelski
Q50324536,Andrianna_Campbell
Q1072843,Don Hahn
Q6508244,Lea_Vivot
Q16913435,Adriaantje_Hollaer
Q125081,Philipp_Rosenthal
Q3473242,Sara_(artist)
Q16274971,Irene_Barberis
Q440887,Laura_Mulvey
Q1074175,Carmelo Borg Pisani
Q6763068,Marie_Watt
Q7336497,Rita_Corbin
Q1252116,Douglas_Cooper_(art_historian)
Q265148,Machiko_Hasegawa
Q7645614,Surekha
Q1789377,Kristine_Stiles
Q107544,Gisela Forster
Q3490819,Sophia_Hawthorne
Q4897453,Beth_Brown_(artist)
Q12742780,Udriște_Năsturel
Q5041109,Carla_Speed_McNeil
Q6520701,Natalia_Chernogolova
Q6303372,Judith_E._Stein
Q1076920,Chris A. Butler
Q236985,Helene_Schjerfbeck
Q5702888,Helen_Nelson_Napaljarri
Q1274863,William_Burrell
Q7313833,Renee_Cox
Q4721503,Alexis_O'Hara
Q6794690,Max_Dashu
Q1077554,Chris Metzen
Q276372,Lee_Bontecou
Q6418602,Kitty_Pultara_Napaljarri
Q12862452,Basili_Sabatsmindeli
Q4383204,Marge_(cartoonist)
Q23017181,Phoebe_Man
Q19666872,Claire_Bishop
Q10803129,Antoni Abad i Roses
Q237911,Louise_Abbéma
Q7493015,Sheila_Brown_Napaljarri
Q12865354,Ioane_Mesvete
Q272617,Anne_Geddes
Q4746167,Amie_Dicke
Q16976087,Ann_Temkin
Q1080343,Christian Holstad
Q11856075,Diana_Cooper_(artist)
Q7911300,Valerie_Lynch_Napaltjarri
Q12866474,Makari_of_Leteti
Q522104,Yevonde_Middleton
Q6761164,Maria_E._Piñeres
Q16194207,Miwon_Kwon
Q1081400,Christian Philipp Müller
Q374948,Varvara_Stepanova
Q17010464,Maggie_Napaljarri_Ross
Q12866612,Martviri_Sabatsmindeli
Q538225,Alice_Austen
Q16996082,Heather_Hudson_(artist)
Q15993081,Karin_Higa
Q10854006,Taha Behbahani
Q460186,Alice_Neel
Q7825180,Topsy_Gibson_Napaltjarri
Q1287009,Edmund_de_Unger
Q451616,Carolyn_Cole
Q7562570,Sonya_Clark
Q1906339,Mary_Margaret_Heaton
Q10854238,Abdi Behravanfar
Q463639,Ana_Mendieta
Q7050052,Nora_Andy_Napaltjarri
Q12879570,Kyriakos_D._Kassis
Q2618403,Betty_Edwards
Q5221611,Daphne_Hardy_Henrion
Q17466231,Jacquelyn_Serwer
Q1089416,André Pascal
Q431705,Lilla_Cabot_Perry
Q4678220,Ada_Andy_Napaltjarri
Q1294841,Edwin_Mullins
Q3293928,Marjetica_Potrč
Q4726081,Alice_Sarah_Kinkead
Q18386613,Susan_Best
Q109009,Johann Georg Schmidt
Q276416,Prudence_Heward
Q6896604,Molly_Jugadai_Napaltjarri
Q1296486,Wolfgang_Lotz_(art_historian)
Q71466,Ellen_Auerbach
Q7920809,Vera_Neumann
Q19588377,Lisa_Wainwright
Q109063,Jimmy Cliff
Q527191,Laura_Muntz_Lyall
Q6897712,Mona_Rockman_Napaljarri
Q1306908,Master_of_the_Drapery_Studies
Q3036757,Donna_Barr
Q2116507,Bronwyn_Bancroft
Q3336543,Nathalie_Bondil
Q1091058,Chöying Dorje, 10th Karmapa
Q4944280,Miriam_Davenport
Q7050222,Norah_Nelson_Napaljarri
Q13130738,Peter_Lord_(art_historian)
Q466946,Tina_Modotti
Q6192923,Jill_Magid
Q22277569,Sylvie_Deswarte-Rosa
Q10923900,Yu Hong
Q4768782,Anne_Savage_(artist)
